filename,case_number,best_address,location,latitude,longitude
H-300-20150-611826.pdf,H-300-20150-611826,"1104 Maynard Ave., Nicholls, GA 31554","Nicholls, GA 31554, USA",31.5174219,-82.63486019999999
H-300-22014-831909.pdf,H-300-22014-831909,"211 Dorothy Burnham Road Nicholls, Georgia 31554","211 Dorothy Burnam Rd, Nicholls, GA 31554, USA",31.49078489999999,-82.6319343
H-300-21253-577257.pdf,H-300-21253-577257,"36635 A Street, Wray, CO 80758","36635 A St, Wray, CO 80758, USA",40.1026297,-102.228759
H-300-21124-285763.pdf,H-300-21124-285763,"1104 Maynard Ave., Nicholls, GA 31554","Nicholls, GA 31554, USA",31.5174219,-82.63486019999999
H-300-20051-337029.pdf,H-300-20051-337029,"1104 Maynard Ave., Nicholls, GA 31554","Nicholls, GA 31554, USA",31.5174219,-82.63486019999999
H-300-23086-881434.pdf,H-300-23086-881434,"102 Joe Dasher Rd Glennville, Georgia 30427","Dasher Rd, Glennville, GA 30427, USA",31.9296525,-81.9041501
H-300-20013-248635.pdf,H-300-20013-248635,"1104 Maynard Ave., Nicholls, GA 31554","Nicholls, GA 31554, USA",31.5174219,-82.63486019999999
H-300-20009-241352.pdf,H-300-20009-241352,"1104 Maynard Ave., Nicholls, GA 31554","Nicholls, GA 31554, USA",31.5174219,-82.63486019999999
H-300-20260-827359.pdf,H-300-20260-827359,"1104 Maynard Ave., Nicholls, GA 31554","Nicholls, GA 31554, USA",31.5174219,-82.63486019999999
H-300-20002-228933.pdf,H-300-20002-228933,"213 PINECONE ROAD, Alma, GA 31510","213 Pinecone Rd, Alma, GA 31510, USA",31.4990436,-82.50046909999999
H-300-21026-033893.pdf,H-300-21026-033893,"1104 Maynard Ave., Nicholls, GA 31554","Nicholls, GA 31554, USA",31.5174219,-82.63486019999999
H-300-20363-980683.pdf,H-300-20363-980683,"1104 Maynard Ave., Nicholls, GA 31554","Nicholls, GA 31554, USA",31.5174219,-82.63486019999999
H-300-20208-735658.pdf,H-300-20208-735658,"1104 Maynard Ave., Nicholls, GA 31554","Nicholls, GA 31554, USA",31.5174219,-82.63486019999999
H-300-20357-975271.pdf,H-300-20357-975271,"931 SA HARDEN RD, Lyons, GA 30436","931 SA Harden Rd, Lyons, GA 30436, USA",32.135268,-82.313271
H-300-21166-398136.pdf,H-300-21166-398136,"301 Liberal Street Dalhart, Texas 79022","301 Liberal St, Dalhart, TX 79022, USA",36.0662772,-102.5198136
H-300-21007-999949.pdf,H-300-21007-999949,"1104 Maynard Ave., Nicholls, GA 31554","Nicholls, GA 31554, USA",31.5174219,-82.63486019999999
H-300-21006-998351.pdf,H-300-21006-998351,"183 MARIGOLD LANE, Alma, GA 31510","183 Marigold Ln, Alma, GA 31510, USA",31.4855312,-82.444244
